127.0.0.1 - - [04/Oct/2018:14:49:12 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:49:21 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/farm/pe-i-ji-i-mi-ji-byeon-gyeong-won-bo1521084005.jpg HTTP/1.1" 200 3837442
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:49:22 +0900] "GET /hanki/hanki/page/sub2_2.yu HTTP/1.1" 200 17385
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:49:22 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/src_css_fram/pc.add.sub2_2.css HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:49:22 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/farm/chi11519618600.jpg HTTP/1.1" 200 1947549
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:49:22 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/farm/chi21519618608.jpg HTTP/1.1" 200 92481
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:49:22 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/farm/pe-i-ji-i-mi-ji-byeon-gyeong-won-bo1521084074.jpg HTTP/1.1" 200 5904464
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:49:30 +0900] "GET /hanki/hanki/myreg/qna.yu HTTP/1.1" 200 38909
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:49:30 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/src_css_fram/pc.myreg.qna.css HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:49:31 +0900] "GET /hanki/hanki/thum_img/ehompy0118/farm/693956f2662cdf809c8fde26e30576d8_water__c1_w550_h188.jpg HTTP/1.1" 200 18228
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/page/sub22.yu HTTP/1.1" 200 22963
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/_addon/jquery/1.11.3/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/js/all_default.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/css/head_logout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/css/head_basic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/etc/navi_category_all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/etc/goods_category_all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/src_css_fram/pc.add.sub22.css HTTP/1.1" 200 8944
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/_addon/css/reset_1.0.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/etc/board_list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/src_css_fram/pc.skin.sub.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/etc/site_category_all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/js/all_default2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/etc/movie_category_all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/etc/gisa_category_all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/js/load_frame.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/js/google_map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/js/head_logout.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/_addon/_plugin/modernizr/modernizr.custom.media.query.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/chk101.ai-log.biz/etc/connect_ai_set.js?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/farm/logo15196106291.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/thum_img/ehompy0118/farm/328f6c51a566a7e8b6e3f2b200678472_water__c1_w550_h188.jpg HTTP/1.1" 200 13317
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/js/all_bottom_script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/design/img/sub.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:55 +0900] "GET /hanki/hanki/img_up/shop_pds/aramfarm/design/icomoon_contents/icomoon.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:59 +0900] "GET /hanki/hanki/bbs/hh1.yu HTTP/1.1" 200 57738
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:59 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/src_css_fram/pc.board.hh1.css HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:59 +0900] "GET /hanki/hanki/img_up/tmp_img/service/board_tpl/8/pc/css/default_mobile.css HTTP/1.1" 200 15904
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:59 +0900] "GET /hanki/hanki/img_up/tmp_img/service/board_tpl/8/pc/css/co-basic.css HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:59 +0900] "GET /hanki/hanki/thum_img/ehompy0118/farm/225ef16c50d4e5a70fd7db4ff7c8ba57_water__c1_w550_h188.jpg HTTP/1.1" 200 11108
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:59 +0900] "GET /hanki/hanki/img_up/tmp_img/service/board_tpl/8/pc/img/ico_image.gif HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:59 +0900] "GET /hanki/hanki/img_up/tmp_img/service/board_tpl/8/pc/css/default_tablet.css HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:59 +0900] "GET /hanki/hanki/bbs_shop/js/board.js HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:59 +0900] "GET /hanki/hanki/bbs_shop/js/sub_menu.js HTTP/1.1" 200 5817
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:59 +0900] "GET /hanki/hanki/img_up/tmp_img/service/board_tpl/8/pc/js/default.js HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:59 +0900] "GET /img_up/tmp_img/service/board_tpl/8/pc/img/ico_file.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:52:59 +0900] "GET /hanki/hanki/img_up/board_tpl/rwd/pc/img/sp_basic_2x.png HTTP/1.1" 200 27309
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:07 +0900] "GET /hanki/hanki/bbs/news.yu HTTP/1.1" 200 39476
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:08 +0900] "GET /hanki/chk101.ai-log.biz/etc/connect_ai_set68b3.js?ver=1 HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:08 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/src_css_fram/pc.board.news.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:08 +0900] "GET /hanki/hanki/thum_img/ehompy0118/farm/97dd7f026b562e056f9ce25c126e3b57_water__c1_w550_h188.jpg HTTP/1.1" 200 11293
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:08 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/src_css_fram/pc.board.news.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:08 +0900] "GET /hanki/chk101.ai-log.biz/etc/connect_ai_set68b3.js?ver=1 HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:08 +0900] "GET /hanki/hanki/bbs/news.yu HTTP/1.1" 200 39476
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:08 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/src_css_fram/pc.board.news.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:08 +0900] "GET /hanki/chk101.ai-log.biz/etc/connect_ai_set68b3.js?ver=1 HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:08 +0900] "GET /hanki/chk101.ai-log.biz/etc/connect_ai_set68b3.js?ver=1 HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:10 +0900] "GET /hanki/BoardList.bo HTTP/1.1" 500 19020
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:20 +0900] "GET /hanki/BoardList.bo HTTP/1.1" 500 19020
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:25 +0900] "GET /hanki/hanki/page/sub3_1.yu HTTP/1.1" 200 25910
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:25 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/src_css_fram/pc.board.g1.css HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:25 +0900] "GET /hanki/hanki/page/js/board.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:25 +0900] "GET /hanki/chk101.ai-log.biz/etc/connect_ai_set68b3.js?ver=1 HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:25 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/farm/doReser.jpg HTTP/1.1" 200 12208
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:26 +0900] "GET /hanki/hanki/page/js/sub_menu.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:26 +0900] "GET /hanki/hanki/page/js/validate.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:26 +0900] "GET /hanki/chk101.ai-log.biz/etc/connect_ai_set68b3.js?ver=1 HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:26 +0900] "GET /hanki/hanki/page/js/board.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:26 +0900] "GET /hanki/hanki/page/js/sub_menu.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:26 +0900] "GET /hanki/hanki/page/js/validate.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/main.yu HTTP/1.1" 200 31019
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/src_css_fram/pc.skin.main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/src_css_fram/pc.main.44525.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/design/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/design/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/design/modernizr.custom.media.query.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/farm/logo1519610629.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/contents/banner/me-in-seul-ra-i-deu11519619214.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/contents/banner/me-in-seul-ra-i-deu21519619225.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/img_up/shop_pds/ehompy0118/contents/banner/me-in-seul-ra-i-deu31519619236.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/thum_img/ehompy0118/banner/f4a4f7540dc18e808dc61e9926df2ef3_water__c1_w130_h200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/thum_img/ehompy0118/banner/3fe8f2bd07020a69e380a31e4cd2ec2d_water__c1_w130_h200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/thum_img/ehompy0118/banner/8a90b3478e36751ed1d6513ce6540c3d_water__c1_w130_h200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/thum_img/ehompy0118/banner/864899ca43f05da453889b930ee6c710_water__c1_w130_h200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/thum_img/ehompy0118/banner/a88c69b9c1cc1761d9fa44647efbf242_water__c1_w130_h200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/thum_img/ehompy0118/banner/0f86f903568a806d6fb9c2e690ea6f63_water__c1_w130_h200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/thum_img/ehompy0118/banner/4d697183a5cbebf6458767f55033cc1b_water__c1_w130_h200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/thum_img/ehompy0118/farm/9afcd07661081e3b7131ffc61953e613_water__c1_w240_h238.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/thum_img/ehompy0118/farm/7178c3ccc2b9174209214f5ca61741d1_water__c1_w370_h200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:14:53:39 +0900] "GET /hanki/hanki/thum_img/ehompy0118/2018/53c646668eab6e96b91b13116825ea1d_water__c1_w100_h100.jpg HTTP/1.1" 304 -
